n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,92,1624.958231,54,1624.958231,41,1624.958231,35,1624.958231,49,1624.958231,43,1624.958231,35,1624.958231,38,1624.958231,427,1624.958231,2089,1624.958231
4230,159,2520.657386,91,2520.657386,73,2520.657386,61,2520.657386,88,2520.657386,78,2520.657386,65,2520.657386,69,2520.657386,357,2520.657386,1821,2520.657386
5360,251,3238.359313,144,3238.359313,113,3238.359313,96,3238.359313,140,3238.359313,125,3238.359313,103,3238.359313,104,3238.359313,525,3238.359313,2062,3238.359313
6490,363,3737.767778,213,3737.767778,165,3737.767778,144,3737.767778,206,3737.767778,184,3737.767778,153,3737.767778,162,3737.767778,607,3737.767778,1645,3737.767778
7620,496,4207.992380,292,4207.992380,231,4207.992380,197,4207.992380,283,4207.992380,257,4207.992380,210,4207.992380,212,4207.992380,708,4207.992380,1586,4207.992380
8750,651,4936.928334,389,4936.928334,301,4936.928334,257,4936.928334,372,4936.928334,324,4936.928334,277,4936.928334,271,4936.928334,797,4936.928334,1395,4936.928334
9880,823,5766.109101,495,5766.109101,382,5766.109101,326,5766.109101,470,5766.109101,412,5766.109101,374,5766.109101,355,5766.109101,859,5766.109101,1430,5766.109101
11010,1011,6428.429666,610,6428.429666,475,6428.429666,404,6428.429666,555,6428.429666,500,6428.429666,439,6428.429666,436,6428.429666,968,6428.429666,1703,6428.429666
12140,1234,7182.791187,742,7182.791187,575,7182.791187,491,7182.791187,651,7182.791187,603,7182.791187,531,7182.791187,526,7182.791187,1121,7182.791187,1767,7182.791187
13270,1472,7857.065132,881,7857.065132,686,7857.065132,584,7857.065132,755,7857.065132,718,7857.065132,632,7857.065132,661,7857.065132,1089,7857.065132,1821,7857.065132
14400,1727,8548.341938,1030,8548.341938,807,8548.341938,684,8548.341938,868,8548.341938,806,8548.341938,743,8548.341938,777,8548.341938,1259,8548.341938,1819,8548.341938
