n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,89,1624.958231,52,1624.958231,41,1624.958231,35,1624.958231,33,1624.958231,33,1624.958231,31,1624.958231,28,1624.958231,342,1624.958231,2535,1624.958231
4230,156,2520.657386,88,2520.657386,71,2520.657386,60,2520.657386,58,2520.657386,56,2520.657386,57,2520.657386,52,2520.657386,514,2520.657386,2502,2520.657386
5360,243,3238.359313,142,3238.359313,111,3238.359313,98,3238.359313,92,3238.359313,91,3238.359313,91,3238.359313,83,3238.359313,571,3238.359313,2545,3238.359313
6490,354,3737.767778,206,3737.767778,162,3737.767778,140,3737.767778,135,3737.767778,134,3737.767778,130,3737.767778,121,3737.767778,710,3737.767778,2696,3737.767778
7620,485,4207.992380,283,4207.992380,224,4207.992380,193,4207.992380,181,4207.992380,187,4207.992380,181,4207.992380,169,4207.992380,667,4207.992380,2474,4207.992380
8750,638,4936.928334,376,4936.928334,293,4936.928334,253,4936.928334,245,4936.928334,249,4936.928334,239,4936.928334,221,4936.928334,852,4936.928334,2532,4936.928334
9880,808,5766.109101,478,5766.109101,373,5766.109101,323,5766.109101,304,5766.109101,312,5766.109101,298,5766.109101,282,5766.109101,845,5766.109101,2583,5766.109101
11010,994,6428.429666,590,6428.429666,459,6428.429666,400,6428.429666,377,6428.429666,387,6428.429666,370,6428.429666,345,6428.429666,909,6428.429666,2728,6428.429666
12140,1200,7182.791187,716,7182.791187,559,7182.791187,484,7182.791187,474,7182.791187,453,7182.791187,450,7182.791187,420,7182.791187,1018,7182.791187,2739,7182.791187
13270,1429,7857.065132,854,7857.065132,665,7857.065132,582,7857.065132,535,7857.065132,560,7857.065132,537,7857.065132,517,7857.065132,1102,7857.065132,2752,7857.065132
14400,1682,8548.341938,1006,8548.341938,784,8548.341938,683,8548.341938,635,8548.341938,657,8548.341938,634,8548.341938,600,8548.341938,1169,8548.341938,2718,8548.341938
