n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,91,1624.958231,53,1624.958231,41,1624.958231,40,1624.958231,39,1624.958231,30,1624.958231,30,1624.958231,34,1624.958231,572,1624.958231,2124,1624.958231
4230,176,2520.657386,95,2520.657386,75,2520.657386,70,2520.657386,70,2520.657386,54,2520.657386,55,2520.657386,59,2520.657386,594,2520.657386,1946,2520.657386
5360,244,3238.359313,139,3238.359313,112,3238.359313,109,3238.359313,110,3238.359313,85,3238.359313,87,3238.359313,98,3238.359313,707,3238.359313,2047,3238.359313
6490,355,3737.767778,204,3737.767778,163,3737.767778,158,3737.767778,160,3737.767778,126,3737.767778,127,3737.767778,134,3737.767778,743,3737.767778,2029,3737.767778
7620,495,4207.992380,276,4207.992380,223,4207.992380,217,4207.992380,220,4207.992380,173,4207.992380,174,4207.992380,183,4207.992380,784,4207.992380,1990,4207.992380
8750,629,4936.928334,361,4936.928334,293,4936.928334,286,4936.928334,287,4936.928334,227,4936.928334,228,4936.928334,246,4936.928334,853,4936.928334,2299,4936.928334
9880,799,5766.109101,458,5766.109101,372,5766.109101,363,5766.109101,367,5766.109101,286,5766.109101,292,5766.109101,299,5766.109101,874,5766.109101,2228,5766.109101
11010,993,6428.429666,570,6428.429666,461,6428.429666,449,6428.429666,451,6428.429666,358,6428.429666,361,6428.429666,370,6428.429666,943,6428.429666,1993,6428.429666
12140,1198,7182.791187,693,7182.791187,558,7182.791187,540,7182.791187,549,7182.791187,433,7182.791187,436,7182.791187,452,7182.791187,1049,7182.791187,2222,7182.791187
13270,1430,7857.065132,826,7857.065132,664,7857.065132,642,7857.065132,651,7857.065132,519,7857.065132,522,7857.065132,532,7857.065132,1123,7857.065132,2371,7857.065132
14400,1689,8548.341938,971,8548.341938,784,8548.341938,748,8548.341938,769,8548.341938,609,8548.341938,615,8548.341938,624,8548.341938,1211,8548.341938,2491,8548.341938
