n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,91,1624.958231,62,1624.958231,40,1624.958231,38,1624.958231,41,1624.958231,44,1624.958231,45,1624.958231,57,1624.958231,594,1624.958231,1792,1624.958231
4230,159,2520.657386,106,2520.657386,69,2520.657386,67,2520.657386,75,2520.657386,79,2520.657386,81,2520.657386,107,2520.657386,690,2520.657386,1353,2520.657386
5360,247,3238.359313,170,3238.359313,110,3238.359313,107,3238.359313,115,3238.359313,127,3238.359313,131,3238.359313,132,3238.359313,698,3238.359313,1812,3238.359313
6490,358,3737.767778,251,3737.767778,162,3737.767778,157,3737.767778,178,3737.767778,186,3737.767778,189,3737.767778,228,3737.767778,762,3737.767778,1656,3737.767778
7620,490,4207.992380,342,4207.992380,223,4207.992380,217,4207.992380,234,4207.992380,246,4207.992380,248,4207.992380,273,4207.992380,787,4207.992380,1440,4207.992380
8750,643,4936.928334,453,4936.928334,292,4936.928334,282,4936.928334,298,4936.928334,308,4936.928334,313,4936.928334,350,4936.928334,859,4936.928334,2076,4936.928334
9880,812,5766.109101,571,5766.109101,370,5766.109101,353,5766.109101,366,5766.109101,395,5766.109101,386,5766.109101,416,5766.109101,937,5766.109101,1923,5766.109101
11010,1007,6428.429666,706,6428.429666,459,6428.429666,435,6428.429666,446,6428.429666,462,6428.429666,481,6428.429666,505,6428.429666,1037,6428.429666,1924,6428.429666
12140,1219,7182.791187,851,7182.791187,556,7182.791187,527,7182.791187,539,7182.791187,553,7182.791187,560,7182.791187,580,7182.791187,1082,7182.791187,1617,7182.791187
13270,1455,7857.065132,1015,7857.065132,665,7857.065132,623,7857.065132,640,7857.065132,652,7857.065132,658,7857.065132,705,7857.065132,1223,7857.065132,2281,7857.065132
14400,1719,8548.341938,1191,8548.341938,784,8548.341938,732,8548.341938,755,8548.341938,759,8548.341938,763,8548.341938,794,8548.341938,1352,8548.341938,2136,8548.341938
