n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,111,1624.958231,80,1624.958231,52,1624.958231,52,1624.958231,52,1624.958231,56,1624.958231,64,1624.958231,59,1624.958231,65,1624.958231,103,1624.958231
4230,206,2520.657386,142,2520.657386,96,2520.657386,90,2520.657386,93,2520.657386,99,2520.657386,109,2520.657386,110,2520.657386,115,2520.657386,144,2520.657386
5360,326,3238.359313,226,3238.359313,152,3238.359313,147,3238.359313,149,3238.359313,153,3238.359313,160,3238.359313,161,3238.359313,155,3238.359313,202,3238.359313
6490,469,3737.767778,329,3737.767778,222,3737.767778,212,3737.767778,216,3737.767778,219,3737.767778,222,3737.767778,231,3737.767778,225,3737.767778,264,3737.767778
7620,638,4207.992380,449,4207.992380,304,4207.992380,286,4207.992380,294,4207.992380,292,4207.992380,304,4207.992380,305,4207.992380,300,4207.992380,347,4207.992380
8750,837,4936.928334,594,4936.928334,399,4936.928334,382,4936.928334,374,4936.928334,383,4936.928334,386,4936.928334,397,4936.928334,384,4936.928334,436,4936.928334
9880,1069,5766.109101,752,5766.109101,504,5766.109101,477,5766.109101,479,5766.109101,482,5766.109101,497,5766.109101,494,5766.109101,487,5766.109101,537,5766.109101
11010,1318,6428.429666,931,6428.429666,626,6428.429666,590,6428.429666,584,6428.429666,611,6428.429666,610,6428.429666,603,6428.429666,597,6428.429666,654,6428.429666
12140,1610,7182.791187,1130,7182.791187,761,7182.791187,719,7182.791187,719,7182.791187,732,7182.791187,735,7182.791187,739,7182.791187,740,7182.791187,774,7182.791187
13270,1924,7857.065132,1344,7857.065132,906,7857.065132,870,7857.065132,863,7857.065132,853,7857.065132,866,7857.065132,878,7857.065132,867,7857.065132,907,7857.065132
14400,2256,8548.341938,1589,8548.341938,1067,8548.341938,1006,8548.341938,1011,8548.341938,1001,8548.341938,1018,8548.341938,1022,8548.341938,1010,8548.341938,1063,8548.341938
