n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,122,1624.958231,68,1624.958231,53,1624.958231,46,1624.958231,44,1624.958231,43,1624.958231,42,1624.958231,46,1624.958231,43,1624.958231,89,1624.958231
4230,205,2520.657386,117,2520.657386,92,2520.657386,78,2520.657386,76,2520.657386,80,2520.657386,90,2520.657386,79,2520.657386,74,2520.657386,121,2520.657386
5360,324,3238.359313,188,3238.359313,145,3238.359313,125,3238.359313,121,3238.359313,130,3238.359313,128,3238.359313,128,3238.359313,117,3238.359313,161,3238.359313
6490,467,3737.767778,276,3737.767778,213,3737.767778,182,3737.767778,177,3737.767778,185,3737.767778,185,3737.767778,176,3737.767778,171,3737.767778,215,3737.767778
7620,639,4207.992380,382,4207.992380,295,4207.992380,249,4207.992380,244,4207.992380,256,4207.992380,249,4207.992380,243,4207.992380,232,4207.992380,278,4207.992380
8750,838,4936.928334,496,4936.928334,384,4936.928334,339,4936.928334,327,4936.928334,347,4936.928334,323,4936.928334,316,4936.928334,304,4936.928334,351,4936.928334
9880,1076,5766.109101,631,5766.109101,490,5766.109101,415,5766.109101,414,5766.109101,425,5766.109101,411,5766.109101,400,5766.109101,387,5766.109101,431,5766.109101
11010,1338,6428.429666,787,6428.429666,604,6428.429666,523,6428.429666,516,6428.429666,522,6428.429666,512,6428.429666,496,6428.429666,481,6428.429666,520,6428.429666
12140,1600,7182.791187,954,7182.791187,735,7182.791187,625,7182.791187,622,7182.791187,628,7182.791187,610,7182.791187,594,7182.791187,581,7182.791187,628,7182.791187
13270,1913,7857.065132,1131,7857.065132,877,7857.065132,755,7857.065132,757,7857.065132,749,7857.065132,727,7857.065132,703,7857.065132,690,7857.065132,738,7857.065132
14400,2239,8548.341938,1331,8548.341938,1035,8548.341938,876,8548.341938,860,8548.341938,869,8548.341938,864,8548.341938,846,8548.341938,816,8548.341938,859,8548.341938
