n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,110,1624.958231,64,1624.958231,49,1624.958231,42,1624.958231,40,1624.958231,37,1624.958231,35,1624.958231,36,1624.958231,37,1624.958231,88,1624.958231
4230,195,2520.657386,110,2520.657386,86,2520.657386,74,2520.657386,67,2520.657386,67,2520.657386,66,2520.657386,66,2520.657386,59,2520.657386,103,2520.657386
5360,305,3238.359313,173,3238.359313,136,3238.359313,115,3238.359313,111,3238.359313,106,3238.359313,100,3238.359313,101,3238.359313,89,3238.359313,135,3238.359313
6490,434,3737.767778,252,3737.767778,199,3737.767778,167,3737.767778,161,3737.767778,153,3737.767778,147,3737.767778,142,3737.767778,128,3737.767778,172,3737.767778
7620,594,4207.992380,350,4207.992380,270,4207.992380,229,4207.992380,221,4207.992380,207,4207.992380,198,4207.992380,195,4207.992380,175,4207.992380,219,4207.992380
8750,774,4936.928334,452,4936.928334,355,4936.928334,301,4936.928334,286,4936.928334,273,4936.928334,263,4936.928334,258,4936.928334,231,4936.928334,274,4936.928334
9880,993,5766.109101,579,5766.109101,450,5766.109101,383,5766.109101,351,5766.109101,345,5766.109101,332,5766.109101,316,5766.109101,291,5766.109101,337,5766.109101
11010,1229,6428.429666,716,6428.429666,558,6428.429666,477,6428.429666,427,6428.429666,425,6428.429666,412,6428.429666,385,6428.429666,360,6428.429666,398,6428.429666
12140,1482,7182.791187,869,7182.791187,676,7182.791187,577,7182.791187,552,7182.791187,510,7182.791187,495,7182.791187,465,7182.791187,431,7182.791187,476,7182.791187
13270,1759,7857.065132,1033,7857.065132,804,7857.065132,685,7857.065132,635,7857.065132,609,7857.065132,590,7857.065132,557,7857.065132,516,7857.065132,558,7857.065132
14400,2077,8548.341938,1217,8548.341938,943,8548.341938,812,8548.341938,723,8548.341938,714,8548.341938,690,8548.341938,653,8548.341938,602,8548.341938,650,8548.341938
