n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,-6.901259,0,-6.901259,1,-6.901259,2,-6.901259,4,-6.901259,3,-6.901259,5,-6.901259,6,-6.901259,293,-6.901259,4639,-6.901259
1530,11,639.082958,9,639.082958,10,639.082958,11,639.082958,11,639.082958,11,639.082958,12,639.082958,25,639.082958,302,639.082958,4600,639.082958
2960,29,1512.568684,26,1512.568684,29,1512.568684,29,1512.568684,30,1512.568684,33,1512.568684,41,1512.568684,45,1512.568684,298,1512.568684,4594,1512.568684
4390,57,2694.123595,54,2694.123595,57,2694.123595,57,2694.123595,57,2694.123595,57,2694.123595,71,2694.123595,69,2694.123595,283,2694.123595,4605,2694.123595
5820,95,3454.965970,93,3454.965970,94,3454.965970,98,3454.965970,97,3454.965970,99,3454.965970,99,3454.965970,116,3454.965970,323,3454.965970,4607,3454.965970
7250,141,4001.420112,138,4001.420112,141,4001.420112,141,4001.420112,142,4001.420112,141,4001.420112,141,4001.420112,158,4001.420112,363,4001.420112,4633,4001.420112
8680,198,4873.056025,196,4873.056025,197,4873.056025,198,4873.056025,197,4873.056025,204,4873.056025,210,4873.056025,217,4873.056025,438,4873.056025,4623,4873.056025
10110,274,5905.986425,271,5905.986425,273,5905.986425,275,5905.986425,275,5905.986425,274,5905.986425,282,5905.986425,285,5905.986425,511,5905.986425,4662,5905.986425
11540,366,6801.247377,349,6801.247377,353,6801.247377,354,6801.247377,357,6801.247377,356,6801.247377,357,6801.247377,366,6801.247377,604,6801.247377,4693,6801.247377
12970,445,7645.918142,441,7645.918142,442,7645.918142,446,7645.918142,445,7645.918142,468,7645.918142,499,7645.918142,477,7645.918142,706,7645.918142,4706,7645.918142
14400,547,8548.341938,540,8548.341938,545,8548.341938,543,8548.341938,548,8548.341938,547,8548.341938,545,8548.341938,562,8548.341938,801,8548.341938,4771,8548.341938
