n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,25,2.496223,417,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,27,79.284941,415,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,29,144.624716,422,144.624716
4390,6,208.298558,6,208.298558,6,208.298558,6,208.298558,5,208.298558,5,208.298558,5,208.298558,6,208.298558,38,208.298558,420,208.298558
5820,10,274.542374,10,274.542374,9,274.542374,9,274.542374,9,274.542374,10,274.542374,10,274.542374,9,274.542374,32,274.542374,416,274.542374
7250,19,378.876824,15,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,33,378.876824,411,378.876824
8680,23,548.498281,20,548.498281,20,548.498281,19,548.498281,19,548.498281,20,548.498281,19,548.498281,33,548.498281,40,548.498281,419,548.498281
10110,31,613.271658,28,613.271658,26,613.271658,26,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,45,613.271658,424,613.271658
11540,37,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,50,677.430003,419,677.430003
12970,46,792.540146,43,792.540146,42,792.540146,43,792.540146,42,792.540146,42,792.540146,43,792.540146,42,792.540146,66,792.540146,405,792.540146
14400,55,843.258581,52,843.258581,52,843.258581,52,843.258581,53,843.258581,52,843.258581,52,843.258581,57,843.258581,75,843.258581,424,843.258581
